iter	Passed	Remaining
0	5	2511
1	15	3371
2	26	3887
3	35	3989
4	45	4021
5	57	4243
6	68	4323
7	76	4225
8	86	4228
9	95	4165
10	102	4077
11	111	4067
12	120	4046
13	129	4025
14	142	4107
15	152	4120
16	161	4093
17	175	4184
18	186	4207
19	195	4181
20	208	4231
21	218	4233
22	228	4222
23	238	4213
24	248	4209
25	258	4202
26	271	4241
27	283	4253
28	293	4238
29	303	4224
30	316	4262
31	326	4249
32	336	4229
33	351	4274
34	362	4276
35	371	4253
36	385	4278
37	398	4297
38	408	4286
39	418	4266
40	431	4286
41	446	4316
42	457	4310
43	472	4340
44	492	4411
45	502	4389
46	511	4361
47	520	4335
48	532	4336
49	549	4375
50	576	4484
51	587	4474
52	594	4433
53	602	4395
54	610	4365
55	618	4330
56	626	4294
57	633	4260
58	641	4226
59	647	4189
60	654	4154
61	661	4119
62	668	4084
63	676	4057
64	682	4023
65	690	3993
66	697	3963
67	705	3942
68	712	3912
69	719	3882
70	726	3855
71	733	3827
72	739	3800
73	746	3773
74	753	3748
75	760	3722
76	767	3697
77	774	3673
78	781	3649
79	788	3628
80	796	3608
81	804	3591
82	812	3573
83	821	3560
84	828	3539
85	837	3523
86	844	3505
87	851	3484
88	858	3463
89	865	3443
90	872	3423
91	879	3403
92	886	3385
93	893	3365
94	900	3347
95	907	3327
96	914	3309
97	921	3291
98	928	3272
99	935	3255
100	942	3237
101	950	3222
102	956	3204
103	963	3187
104	970	3170
105	977	3154
106	984	3137
107	991	3120
108	998	3105
109	1005	3088
110	1012	3074
111	1020	3060
112	1027	3044
113	1034	3030
114	1041	3014
115	1048	3000
116	1055	2984
117	1061	2969
118	1068	2954
119	1075	2939
120	1082	2924
121	1088	2909
122	1096	2896
123	1102	2881
124	1109	2866
125	1116	2853
126	1123	2839
127	1130	2826
128	1137	2813
129	1145	2801
130	1152	2787
131	1159	2774
132	1165	2761
133	1172	2747
134	1179	2734
135	1186	2721
136	1193	2708
137	1200	2696
138	1208	2686
139	1215	2674
140	1223	2662
141	1230	2650
142	1236	2637
143	1244	2626
144	1250	2614
145	1258	2602
146	1266	2592
147	1274	2582
148	1281	2572
149	1289	2562
150	1297	2552
151	1307	2546
152	1316	2539
153	1326	2533
154	1338	2531
155	1347	2521
156	1355	2511
157	1363	2503
158	1372	2494
159	1381	2486
160	1390	2478
161	1399	2470
162	1408	2463
163	1417	2454
164	1426	2446
165	1433	2435
166	1440	2424
167	1447	2412
168	1454	2401
169	1463	2393
170	1470	2382
171	1478	2371
172	1486	2362
173	1493	2352
174	1502	2343
175	1510	2333
176	1517	2324
177	1524	2312
178	1531	2302
179	1538	2291
180	1545	2280
181	1553	2270
182	1561	2260
183	1568	2249
184	1574	2238
185	1581	2228
186	1589	2217
187	1596	2207
188	1603	2196
189	1610	2186
190	1617	2176
191	1624	2165
192	1631	2156
193	1638	2145
194	1645	2135
195	1652	2124
196	1660	2116
197	1667	2105
198	1674	2095
199	1681	2085
200	1688	2075
201	1695	2065
202	1702	2055
203	1710	2045
204	1718	2036
205	1725	2026
206	1731	2016
207	1738	2006
208	1745	1996
209	1752	1986
210	1759	1976
211	1766	1966
212	1772	1956
213	1780	1946
214	1786	1936
215	1793	1926
216	1800	1916
